student_id,recommendation,dominant_strategy,template_types,genuine_vocabulary_evidence,anomalous_responses,clinical_interpretation,error
1,referral,Rigid fill-in-the-blank template with minimal adaptation; student cycles between two sentence frames regardless of word type or grammatical fit.,"I am hapy [TARGET] day., The [TARGET] is fun.",,"Target: 'because' | Sentence: 'I am hapy because day.' (semantic nonsense; preposition used as noun), Target: 'quickly' | Sentence: 'I am hapy quickly day.' (adverb forced into noun position)","This student demonstrates severe difficulty with sentence generation and vocabulary integration. The pervasive misspelling ('hapy'), grammatically incoherent constructions ('I am hapy [adjective/noun/adverb] day'), and complete reliance on two fixed templates suggest either limited English proficiency, low phonemic awareness, insufficient understanding of parts of speech, or significant test anxiety/task avoidance.",
2,diagnostic_conversation,Meta-linguistic avoidance: Student writes about using the word correctly rather than demonstrating contextual use,I used the word [TARGET] correctly in this sentence.,,,This is a clinically significant pattern indicating the student either misunderstood the task instructions or lacks confidence in generating contextual sentences with target vocabulary. The student demonstrates awareness that words have correct uses but does not demonstrate actual vocabulary knowledge through application.,
3,diagnostic_conversation,Rigid template substitution with minimal grammatical awareness,"My [word] is nice., I go to skool every day [word].",,"because: 'My because is nice' (noun phrase error; 'because' is a conjunction), quickly: 'I go to skool every day quickly' (adverb misplaced but closer to grammatical intent)","This student demonstrates a pervasive reliance on two fill-in-the-blank sentence frames with no apparent understanding of word class, grammar, or semantic fit. The pattern suggests either significant receptive vocabulary gaps, test anxiety leading to avoidance behavior, or possible limited English proficiency masking actual word knowledge.",
4,referral,Rigid alternation between two formulaic templates with spelling errors,"I am hapy [noun] day, The [noun] is fun",,"because: 'I am hapy because day' (uses connector word inappropriately in template), beautiful: 'I am hapy beautiful day' (stacks adjectives without verb), happy: 'I am hapy happy day' (repeats target word; spelling mismatch)","This student demonstrates severe task avoidance through rigid template adherence rather than genuine sentence construction. The consistent misspelling of 'happy' as 'hapy,' inability to vary syntax, and mechanical insertion of words suggest either very limited vocabulary production capacity, significant anxiety about the task, or possible English language learner status with inadequate modeling.",
5,referral,Rigid template application with two alternating frames and consistent spelling error,"I am hapy [WORD] day, The [WORD] is fun",,because: 'The because is fun' (grammatically incoherent; misapplication of template to function word),"This student demonstrates severe template dependency with no contextual differentiation between target words. The persistent misspelling of 'happy' and mechanical insertion of words into fixed frames—regardless of semantic fit—suggests either very limited vocabulary processing, test anxiety leading to avoidance of authentic composition, or possible language processing difficulties. The student shows no evidence of understanding word meanings or attempting varied sentence structures.",
6,diagnostic_conversation,Meta-linguistic avoidance: Student writes about using the word rather than using the word in context,I used the word [TARGET] correctly in this sentence.,,,"This is a clinically significant pattern indicating the student either misunderstood the task instructions or lacks confidence in contextual word use. The student consistently avoided the core task (embedding vocabulary in authentic sentences) in favor of a meta-linguistic commentary, suggesting possible comprehension difficulty, test anxiety, or learned avoidance behavior.",
7,diagnostic_conversation,Meta-linguistic avoidance: student writes about using the word correctly rather than actually using it in context,I used the word [TARGET] correctly in this sentence.,,,"This is a clinically significant pattern indicating the student either does not understand the task demands or lacks confidence in demonstrating vocabulary knowledge contextually. The student has avoided generating any authentic sentence using any target word across all 39 items, instead producing a formulaic meta-linguistic statement that circumvents the actual assessment task.",
8,referral,Rigid alternation between two sentence templates with minimal word substitution; persistent spelling error ('hapy' for 'happy'),"I am hapy [WORD] day, The [WORD] is fun",,"because: 'I am hapy because day' (attempts causal structure but misapplies it), beautiful: 'The beautiful is fun' (uses adjective as noun, suggesting uncertainty about word class)","This student demonstrates severe reliance on formulaic sentence construction with no meaningful integration of target vocabulary into varied contexts. The persistent misspelling of 'happy,' combined with syntactically awkward noun phrases (e.g., 'The beautiful,' 'The excited'), suggests either very limited English proficiency, minimal engagement with the task, or possible working memory/processing constraints.",
9,referral,Rigid alternation between two templates regardless of word type or grammatical fit,"My [word] is nice., I go to skool every day [word].",,school: 'I go to skool every day school' (redundant/self-referential),"This student demonstrates significant difficulty with word choice, syntax, and grammatical agreement. The systematic misuse of parts of speech (forcing adverbs and adjectives into noun slots: 'My because,' 'My quickly,' 'My happy') combined with rote template application suggests either minimal understanding of the target vocabulary or a possible language processing deficit. The misspelling of 'school' as 'skool' throughout raises concern about foundational spelling or phonological awareness.",
10,referral,Rigid alternation between two sentence templates regardless of target word part-of-speech or semantics,"The [word] is fun., I am hapy [word] day.",,,"This student demonstrates a systematic avoidance of genuine sentence construction, relying entirely on two interchangeable templates with no apparent grammatical or semantic reasoning. The persistent misspelling of 'happy' as 'hapy' and the mechanical substitution of unrelated words (e.g., 'I am hapy because day') suggests either profound difficulty with vocabulary integration, test anxiety leading to shutdown, or limited English proficiency masking any actual word knowledge.",
